CodigoMateria,CodigoParlamentar,DataApresentacao
114302,558,2015-04-28
114302,5627,2021-08-05
115294,5012,2014-05-13
115294,4593,2014-05-14
115294,5008,2014-06-05
115294,5988,2022-03-10
115294,5352,2022-03-15
115294,5008,2022-03-16
115294,5008,2022-03-17
115294,5982,2022-03-22
115294,5926,2022-04-07
115294,6008,2022-04-08
115294,5535,2022-04-13
115294,5352,2022-05-03
115294,5411,2022-03-23
115294,5008,2022-05-18
115294,5236,2022-05-18
115294,5525,2022-05-31
115294,5906,2022-06-01
115294,4770,2022-06-29
115294,5236,2022-05-18
115294,5905,2022-05-23
115294,5236,2022-05-17
115294,742,2022-05-27
115294,5926,2022-05-30
115294,5411,2022-06-22
115294,581,2022-11-29
115294,5012,2022-03-24
115294,4770,2022-05-06
115294,5411,2022-06-07
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,715,2018-05-16
115437,5116,2018-12-11
115437,5905,2019-11-22
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
115437,5012,2019-11-26
116081,3634,2015-04-23
116081,3634,2015-04-23
116081,3634,2015-04-23
116081,5540,2019-05-22
116081,5959,2019-06-12
116081,5959,2019-06-12
116285,4877,2014-11-12
116285,3741,2014-12-01
116285,643,2014-12-02
116814,4877,2014-09-16
116816,3741,2014-06-03
116816,3741,2014-06-03
116816,3741,2014-06-03
116816,3741,2014-06-03
116816,3741,2014-06-03
116816,3741,2014-06-03
117030,5322,2015-12-01
117030,5322,2015-12-01
117030,5322,2015-12-01
118042,5529,2019-06-11
118217,5012,2017-03-22
118217,5012,2017-03-22
118217,5012,2017-03-22
118217,5982,2022-11-22
118217,5990,2022-12-19
118224,3823,2016-05-17
118224,5990,2022-11-29
118224,5990,2022-11-29
118404,1186,2022-03-22
118404,1186,2022-03-22
118404,3806,2022-03-22
118404,3806,2022-03-22
118404,4531,2022-03-30
119529,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119530,3830,2015-02-05
119531,846,2015-02-05
119531,3372,2015-02-05
119531,3830,2015-02-05
119590,2331,2022-06-28
119590,4770,2022-06-28
119590,5895,2022-06-28
119590,22,2022-06-28
119619,643,2015-02-12
119619,581,2022-04-06
119619,4560,2022-04-28
119624,4981,2016-04-27
119624,4981,2016-04-27
119624,4981,2016-04-27
119721,5182,2015-08-03
119766,5100,2015-10-27
119840,3398,2015-12-09
119840,3398,2015-12-09
119840,3398,2015-12-09
119840,3398,2015-12-09
119840,3398,2015-12-09
119840,4606,2016-12-14
119847,2331,2019-04-09
119855,5000,2018-03-14
119915,345,2019-08-09
119916,5112,2015-06-10
119916,5924,2019-04-03
119997,5990,2023-06-06
119997,5953,2023-08-09
120152,5953,2019-04-24
120152,5982,2019-04-24
120258,3830,2015-07-08
120262,1176,2015-06-11
120262,1176,2015-06-11
120262,1176,2015-06-11
120281,5132,2016-03-23
120283,715,2018-05-08
120283,90,2018-05-10
120325,3372,2015-08-18
120344,3396,2015-04-01
120357,4697,2015-11-11
120357,4697,2015-11-11
120357,4697,2015-11-11
120378,73,2017-08-15
120378,73,2017-08-15
120378,635,2017-08-15
120378,73,2017-08-23
120378,73,2017-08-23
120443,5527,2015-11-04
120443,5533,2016-05-17
120447,5533,2015-08-06
120447,5533,2015-08-06
120447,5533,2015-08-06
120573,5531,2016-04-05
120625,456,2016-03-08
120625,456,2016-03-08
120625,456,2016-03-08
120630,73,2015-10-21
120655,4981,2018-06-05
120655,3695,2018-06-20
120655,3695,2018-06-20
120655,2331,2022-05-16
120656,1249,2020-03-02
120656,5352,2020-03-02
120656,5982,2020-03-03
120656,1249,2020-03-09
120656,22,2020-03-10
120691,5100,2015-04-23
120691,4560,2016-10-05
120737,5100,2016-04-20
120768,4988,2015-10-06
120777,5523,2021-08-11
120928,846,2016-12-13
120928,846,2016-12-13
120928,846,2016-12-13
120933,5502,2019-09-10
120996,5108,2017-09-20
121008,1249,2019-06-06
121008,1249,2019-06-06
121008,1249,2019-06-06
121008,5502,2019-11-12
121187,3713,2016-02-16
121187,3713,2016-02-16
121189,3,2016-03-01
121213,3830,2015-05-22
121213,4697,2015-11-11
121213,4697,2015-11-11
121285,3634,2016-04-12
121353,5000,2015-08-12
121353,3,2017-03-08
121353,3,2017-03-08
121353,73,2017-03-13
121353,3398,2017-03-14
121353,5732,2019-04-09
121353,5732,2019-04-09
121372,945,2016-09-13
121372,945,2016-09-13
121372,945,2016-09-13
121372,945,2016-09-13
121372,945,2016-09-13
121372,945,2016-09-13
121402,5132,2015-11-03
121416,5637,2016-05-10
121416,5352,2019-06-25
121416,742,2019-07-10
121454,615,2018-03-14
121454,615,2018-03-14
121454,615,2018-03-14
121456,558,2018-06-13
121456,16,2018-06-14
121457,4988,2015-09-09
121529,825,2015-11-04
121529,825,2016-05-17
121529,825,2016-05-17
121668,22,2019-05-15
121730,5953,2020-02-05
121730,5953,2020-02-05
121755,5182,2016-08-24
121761,5529,2015-08-18
121761,5529,2015-08-18
121792,5000,2016-07-12
121833,5132,2016-02-24
121833,5132,2016-02-24
121833,5537,2016-06-29
121833,5537,2016-06-29
121934,5000,2016-03-01
121943,5924,2020-02-12
121987,5322,2021-08-09
121990,5140,2017-05-11
121990,5140,2017-05-11
121990,5140,2017-05-11
121990,5140,2017-05-11
121990,3398,2017-05-31
121990,3398,2017-05-31
121990,5718,2021-12-08
122032,2331,2016-10-25
122118,345,2020-02-18
122122,345,2019-07-03
122122,345,2019-07-03
122175,5523,2015-09-15
122175,5523,2015-09-15
122182,5953,2020-02-19
122285,5385,2019-11-05
122291,3830,2015-07-17
122291,3823,2017-09-13
122291,3823,2017-09-13
122291,3823,2017-09-13
122321,825,2017-07-12
122405,5953,2020-02-19
122411,5637,2015-10-20
122411,5979,2019-07-02
122451,5929,2019-04-25
122451,5929,2019-04-25
122470,5132,2015-12-09
122470,5533,2020-03-03
122471,5523,2017-09-12
122471,5523,2017-09-12
122561,3830,2015-08-13
122613,5070,2023-09-20
122613,5070,2023-09-20
122632,5979,2021-10-26
122665,4697,2015-10-07
122909,5973,2019-08-20
122909,5973,2019-08-20
122923,5540,2017-04-25
123021,5008,2018-04-25
123021,5008,2018-04-25
123021,5527,2018-06-06
123021,5527,2018-06-06
123021,5008,2019-04-23
123021,5988,2019-05-14
123021,5008,2019-07-09
123021,5527,2019-07-09
123021,5982,2020-02-12
123046,456,2016-11-22
123046,5008,2016-12-01
123046,3695,2018-04-11
123105,5070,2017-06-12
123112,5322,2016-05-17
123156,677,2016-04-20
123193,5540,2018-03-13
123203,5967,2019-08-06
123261,2331,2022-03-21
123262,111,2016-03-29
123262,111,2016-03-29
123264,677,2021-06-16
123276,5012,2016-03-23
123276,5529,2016-03-30
123276,1249,2019-04-09
123292,3806,2019-05-21
123292,3806,2019-05-21
123292,3806,2019-05-21
123385,5012,2019-10-01
123475,3806,2019-10-02
123496,2331,2019-11-20
123496,5540,2019-11-26
123525,4988,2018-11-20
123525,374,2018-11-21
123525,73,2018-12-12
123525,2331,2022-02-23
123611,5895,2020-03-04
123613,5527,2016-04-05
123846,5953,2021-09-23
123846,5953,2021-09-23
123946,4981,2015-11-18
124215,5386,2023-09-26
124215,5990,2023-10-04
124295,5924,2019-08-20
124329,5523,2017-06-20
124333,3634,2016-10-18
124333,3634,2016-10-18
124333,3634,2016-10-18
124333,3634,2016-10-18
124333,3634,2016-10-18
124333,3634,2016-10-18
124333,3634,2016-10-18
124339,3398,2018-11-28
124339,3398,2018-11-28
124339,5008,2019-03-20
124339,5008,2019-03-20
124339,5008,2019-03-20
124339,5008,2019-03-20
124339,5976,2019-06-12
124339,1186,2019-08-07
124339,1186,2019-08-07
124339,1186,2019-08-07
124339,1186,2019-08-07
124405,5540,2019-08-08
124405,5540,2019-10-29
124405,5529,2019-11-05
124405,5540,2019-11-20
124487,4531,2021-12-02
124493,5998,2019-04-03
124493,5748,2019-05-16
124493,5748,2019-05-16
124493,5748,2019-05-16
124493,5748,2019-05-16
124507,345,2021-11-30
124507,345,2021-11-30
124507,345,2021-11-30
124513,5998,2020-02-05
124525,715,2018-05-30
124525,3777,2019-05-22
124662,558,2016-04-12
124662,3,2016-04-13
124662,3,2016-04-13
124662,5164,2016-12-07
124662,846,2016-12-13
124678,4767,2016-07-05
124684,5052,2016-12-06
124744,5535,2019-05-21
124744,5535,2019-05-21
124745,5182,2017-07-12
124745,5182,2017-07-12
124745,5182,2017-07-12
124777,5178,2016-04-19
124792,825,2021-04-26
124792,5008,2021-04-26
124792,945,2021-04-27
124792,4770,2021-04-27
